Combination,MK exacto,Time Exacto,MK random,Time Random,GAP RAndom,MK Grasp,Time GRASP,GAP GRASP
15x2,770.0,0.042,782.88,6.14,1.678,783.08,6.888,1.704
15x3,561.0,0.07,574.36,9.748,2.366,574.6,11.218,2.41
15x4,386.8,0.208,404.44,12.47,4.75,405.8,32.814,5.072
16x2,841.4,0.028,855.96,7.396,1.734,856.76,20.11,1.826
16x3,589.0,0.074,602.56,10.724,2.306,602.48,34.298,2.292
16x4,412.2,0.124,429.92,13.28,4.352,429.48,41.78,4.238
17x2,917.8,0.04,931.88,7.942,1.54,931.68,23.008,1.516
17x3,633.6,0.08,648.76,11.528,2.4,648.8,15.986,2.398
17x4,437.2,0.23,454.8,19.244,4.008,455.8,18.532,4.234
18x2,918.6,0.05,935.28,9.084,1.834,935.88,10.51,1.894
18x3,657.0,0.058,671.92,14.976,2.274,671.72,14.392,2.242
18x4,476.8,0.212,493.16,19.14,3.432,493.8,18.258,3.566
19x2,966.2,0.048,981.0,1231.884,1.544,980.72,10.166,1.52
19x3,668.6,0.072,683.2,16.046,2.186,683.44,15.972,2.224
19x4,499.0,0.138,518.36,20.758,3.85,516.72,21.636,3.532
20x2,1053.4,0.046,1071.8,10.694,1.75,1072.72,11.146,1.836
20x3,696.2,0.076,711.68,14.98,2.218,710.96,17.088,2.1
20x4,490.2,0.13,504.44,24.534,2.918,506.36,176.324,3.308
